country,total_production_tonnes
"China, mainland",27058966798.11
United States of America,25907120019.6
India,17259340284.14
USSR,8191104995.0
Brazil,5185458129.84
France,5048856765.64
Germany,4479104915.44
Russian Federation,4093601322.61
Canada,3517707815.0
Indonesia,3274526622.71
